task,metric,block,contrast,difference
two_concepts,centered_logit_fidelity,6000,tiny_gmp - plain2_w16_gmp,0.14015392104262855
two_concepts,centered_logit_fidelity,6001,tiny_gmp - plain2_w16_gmp,0.25653523728631317
two_concepts,centered_logit_fidelity,6002,tiny_gmp - plain2_w16_gmp,0.14834724879839734
two_concepts,centered_logit_fidelity,6003,tiny_gmp - plain2_w16_gmp,0.27113791674585985
two_concepts,centered_logit_fidelity,6004,tiny_gmp - plain2_w16_gmp,0.10748718759406627
two_concepts,centered_logit_fidelity,6005,tiny_gmp - plain2_w16_gmp,0.24819071634564355
two_concepts,centered_logit_fidelity,6006,tiny_gmp - plain2_w16_gmp,0.2478892186588459
two_concepts,centered_logit_fidelity,6007,tiny_gmp - plain2_w16_gmp,0.14548018167853244
two_concepts,centered_logit_fidelity,6008,tiny_gmp - plain2_w16_gmp,0.1918289862585156
two_concepts,centered_logit_fidelity,6009,tiny_gmp - plain2_w16_gmp,0.19646347093438626
two_concepts,centered_logit_fidelity,6010,tiny_gmp - plain2_w16_gmp,0.16789332814868965
two_concepts,centered_logit_fidelity,6011,tiny_gmp - plain2_w16_gmp,0.07520546723185395
two_concepts,centered_logit_fidelity,6012,tiny_gmp - plain2_w16_gmp,0.1687287052663807
two_concepts,centered_logit_fidelity,6013,tiny_gmp - plain2_w16_gmp,0.13402994834944332
two_concepts,centered_logit_fidelity,6014,tiny_gmp - plain2_w16_gmp,0.17502111696745562
two_concepts,centered_logit_fidelity,6015,tiny_gmp - plain2_w16_gmp,0.1964465678934611
two_concepts,centered_logit_fidelity,6016,tiny_gmp - plain2_w16_gmp,0.21422476169691593
two_concepts,centered_logit_fidelity,6017,tiny_gmp - plain2_w16_gmp,0.2182239847895727
two_concepts,centered_logit_fidelity,6018,tiny_gmp - plain2_w16_gmp,0.186883529138901
two_concepts,centered_logit_fidelity,6019,tiny_gmp - plain2_w16_gmp,0.13879225232406264
two_concepts,centered_logit_fidelity,6020,tiny_gmp - plain2_w16_gmp,0.17113121710768234
two_concepts,centered_logit_fidelity,6021,tiny_gmp - plain2_w16_gmp,0.19433249344846548
two_concepts,centered_logit_fidelity,6022,tiny_gmp - plain2_w16_gmp,0.15826837578083863
two_concepts,centered_logit_fidelity,6023,tiny_gmp - plain2_w16_gmp,0.20466993358411636
two_concepts,centered_logit_fidelity,6024,tiny_gmp - plain2_w16_gmp,0.11858448046120046
two_concepts,centered_logit_fidelity,6025,tiny_gmp - plain2_w16_gmp,0.24726748086329717
two_concepts,centered_logit_fidelity,6026,tiny_gmp - plain2_w16_gmp,0.1833806185668341
two_concepts,centered_logit_fidelity,6027,tiny_gmp - plain2_w16_gmp,0.2852175531516229
two_concepts,centered_logit_fidelity,6028,tiny_gmp - plain2_w16_gmp,0.1515687062293291
two_concepts,centered_logit_fidelity,6029,tiny_gmp - plain2_w16_gmp,0.1773970350797583
two_concepts,centered_logit_fidelity,6030,tiny_gmp - plain2_w16_gmp,0.2841927495944232
two_concepts,centered_logit_fidelity,6031,tiny_gmp - plain2_w16_gmp,0.1272365570912085
two_concepts,centered_logit_fidelity,6032,tiny_gmp - plain2_w16_gmp,0.044376481546342314
two_concepts,centered_logit_fidelity,6033,tiny_gmp - plain2_w16_gmp,0.22331795251467107
two_concepts,centered_logit_fidelity,6034,tiny_gmp - plain2_w16_gmp,0.1055794370258849
two_concepts,centered_logit_fidelity,6035,tiny_gmp - plain2_w16_gmp,0.060246046340303144
two_concepts,centered_logit_fidelity,6036,tiny_gmp - plain2_w16_gmp,0.15428373776709148
two_concepts,centered_logit_fidelity,6037,tiny_gmp - plain2_w16_gmp,0.17531210890626236
two_concepts,centered_logit_fidelity,6038,tiny_gmp - plain2_w16_gmp,0.09489682383910697
two_concepts,centered_logit_fidelity,6039,tiny_gmp - plain2_w16_gmp,0.20181520800892924
two_concepts,centered_logit_fidelity,6040,tiny_gmp - plain2_w16_gmp,0.10879784087442956
