task,metric,value_kind,block,difference
two_concepts,centered_logit_fidelity,selected,7000,0.06856495668682547
two_concepts,centered_logit_fidelity,selected,7001,0.04513191966784797
two_concepts,centered_logit_fidelity,selected,7002,0.021550489657495935
two_concepts,centered_logit_fidelity,selected,7003,0.05164834076388307
two_concepts,centered_logit_fidelity,selected,7004,0.029568567897436376
two_concepts,centered_logit_fidelity,selected,7005,0.039704178826725986
two_concepts,centered_logit_fidelity,selected,7006,0.04814777094472668
two_concepts,centered_logit_fidelity,selected,7007,0.05730029670668365
two_concepts,centered_logit_fidelity,selected,7008,0.03926563466696693
two_concepts,centered_logit_fidelity,selected,7009,0.04244299084635604
two_concepts,centered_logit_fidelity,selected,7010,0.030780412769448495
two_concepts,centered_logit_fidelity,selected,7011,0.0023621356381385433
two_concepts,centered_logit_fidelity,selected,7012,0.11131124628860722
two_concepts,centered_logit_fidelity,selected,7013,0.07267728540239089
two_concepts,centered_logit_fidelity,selected,7014,0.03177584921171764
two_concepts,centered_logit_fidelity,selected,7015,0.033288594140149314
two_concepts,centered_logit_fidelity,selected,7016,0.015659794353078963
two_concepts,centered_logit_fidelity,selected,7017,0.06507049933292024
two_concepts,centered_logit_fidelity,selected,7018,0.10367218284641233
two_concepts,centered_logit_fidelity,selected,7019,0.05387172820680945
two_concepts,centered_logit_fidelity,selected,7020,0.08954974994854847
two_concepts,centered_logit_fidelity,selected,7021,0.1012814872922071
two_concepts,centered_logit_fidelity,selected,7022,0.010521480140975883
two_concepts,centered_logit_fidelity,selected,7023,0.05018282296527231
two_concepts,centered_logit_fidelity,selected,7024,0.010355844203372714
two_concepts,centered_logit_fidelity,selected,7025,0.07210331867188255
two_concepts,centered_logit_fidelity,selected,7026,0.07898900048268026
two_concepts,centered_logit_fidelity,selected,7027,0.11078504983863213
two_concepts,centered_logit_fidelity,selected,7028,0.017325064893615065
two_concepts,centered_logit_fidelity,selected,7029,0.12699142331441365
two_concepts,centered_logit_fidelity,selected,7030,0.03635405611832837
two_concepts,centered_logit_fidelity,selected,7031,0.06776981809944987
two_concepts,centered_logit_fidelity,selected,7032,0.03919375475315515
two_concepts,centered_logit_fidelity,selected,7033,0.017442521397658974
two_concepts,centered_logit_fidelity,selected,7034,0.0745175788274677
two_concepts,centered_logit_fidelity,selected,7035,0.0715519434550794
two_concepts,centered_logit_fidelity,selected,7036,0.08099429262059024
two_concepts,centered_logit_fidelity,selected,7037,0.0628153255371866
two_concepts,centered_logit_fidelity,selected,7038,0.08043722730484146
two_concepts,centered_logit_fidelity,selected,7039,0.06377031955564602
two_concepts,centered_logit_fidelity,selected,7040,0.07814625983506442
two_concepts,centered_logit_fidelity,selected,7041,-0.008959539747149203
two_concepts,centered_logit_fidelity,selected,7042,0.055719869794865026
two_concepts,centered_logit_fidelity,selected,7043,0.08079107142356615
two_concepts,centered_logit_fidelity,selected,7044,0.05111872360820269
two_concepts,centered_logit_fidelity,selected,7045,0.07320804246142601
two_concepts,centered_logit_fidelity,selected,7046,0.08299461505567059
two_concepts,centered_logit_fidelity,selected,7047,0.037075558967224656
two_concepts,centered_logit_fidelity,selected,7048,0.06711862026549929
two_concepts,centered_logit_fidelity,selected,7049,0.10150472259821461
two_concepts,centered_logit_fidelity,selected,7050,0.06487511652497881
two_concepts,centered_logit_fidelity,selected,7051,0.10098005370960934
two_concepts,centered_logit_fidelity,selected,7052,0.10594387677696648
two_concepts,centered_logit_fidelity,selected,7053,0.07568998122381626
two_concepts,centered_logit_fidelity,selected,7054,0.014836681974976347
two_concepts,centered_logit_fidelity,selected,7055,0.04948090326723968
two_concepts,centered_logit_fidelity,selected,7056,0.026501795323560114
two_concepts,centered_logit_fidelity,selected,7057,-0.0012471982456674184
two_concepts,centered_logit_fidelity,selected,7058,0.005401056123589744
